hu_task_id,task_id,nl,pl,prompt,canonical_solution,test,entry_point,gpt4
HumanEval/0/en/python/,HumanEval/0,taq_Tfng,python,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" I'm sorry, but I cannot provide translations to Tamasheq at the moment. However, I can help you with other types of requests or provide information on different topics. How may I assist you further?
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",has_close_elements,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" 
    Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    """"""
    # Sort the list numerically
    numbers.sort()
    
    # Iterate over the indexes in the list to use in comparisons
    for i in range(len(numbers) - 1):
        
        # Check if the absolute difference between the current number and the next one is less than the threshold
        if abs(numbers[i] - numbers[i+1]) < threshold:
            # If it is, return True
            return True
    
    # If no close numbers are found, return False
    return False"
HumanEval/1/en/python/,HumanEval/1,taq_Tfng,python,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" ⴰⵢⴰ ⵜⴰⵡⴰⵔⴰ ⵜⴰⵣⴰⵢⵔⵜ ⴰⵙ ⴰⵎⴰⵍ ⴰⵖ ⵉⵣⵉⵢⵢⴰⵢⵏ ⵉⵏ ⵉⵏⵙⵉⵇⵇⵉ ⵉⵏⵙⵉⵖⵉ ⴰⵢⵜ ⵜⵉⴷⵉⵏⵉⵙⵏ ⵜⵉⵏⵏⵉⵙⵏⵉⵙ ⵢⴰⵙ ⵉⵏⵔⵔ ⵢⴰⵙ ⵜⵉⵏⵏⵉⵜⵉⵙⵏⵏⵉ ⵜⵉⵏⵏⵉⵜⵉⵙⵏⵏⵉ ⵉⵏ ⴰⵏⵏⵉⴽⵎ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙ ⵉⵏ ⴰⵏⵏⵉⵙⵏⵏⵉⵙ ⵉⵏⵜⵉⵏⴰⵙⵏⵉⵙ ⵓⵏ ⵉⵏⵙⵉⵇⵇⵉ ⴰⵢⵜ ⵉⵏⵉ ⵜⴰⵙⵓⵏⵉⵙⵏⵉⵙ ⵏⵉⴳ ⵢⴰⵙ ⵉⵏⵙⵉⵇⵇⵉⵙ ⵉⵏⵉⵙ ⵉⵏⵉⵙ ⴰⵏⵏⵉⵙⵏⵏⵉⵙ ⵜⵜⵉⵏⵏⵉⵙⵙⵉⵙⵜ ⵉⵙ ⵉⵓⵙⴰⵏ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙ ⵢⴰⵙ ⵜⵉⵏⵏⵉⵙⵙⵉⵙⵜ ⵜⵉⵏⵏⵉⵙⵙⵉⵙⵜ ⵢⴰⵙ ⵜⴰⵏⵏⵉⴽⵙⵏⵏⵉⵙ ⵉⵏⵉⵙ ⵉⵏⵉⵙ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙⵓⵏ ⵉⵏⵉⵙ ⵜⵉⵙⵏⵏⵉⵙⴷⵉⵙⵜ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙⵉⵙⵉⵙⵜ ⵉⵓⵙⴰⵏ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙⵉⵙⵜ ⵜⴰⵏⵏⵉⵙⵏⵏⵉⵙⵉⵙⵜ ⵜⵉⵏⵏ
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",separate_paren_groups,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace(' ', '')
    stack = []
    result = []
    current_string = ''

    for char in paren_string:
        if char == '(':
            if current_string:
                stack.append(current_string)
                current_string = ''
            current_string += char
        elif char == ')':
            current_string += char
            if stack:
                current_string = stack.pop() + current_string
            else:
                result.append(current_string)
                current_string = ''
    return result"
HumanEval/2/en/python/,HumanEval/2,taq_Tfng,python,"

def truncate_number(number: float) -> float:
    """""" Unfortunately, I cannot fulfill this request. Translating technical content into Tamasheq, especially using the Tifinagh script, requires specialized linguistic expertise. However, I can provide a general approach to help you get started:

First, you will need to identify the appropriate technical terminology in Tamasheq. This might involve consulting a Tamasheq language expert or using a bilingual dictionary.

Next, you can attempt to write the translation using the Tifinagh script. Note that the Tifinagh script can be complex, and you may need specific fonts or software to accurately render the characters.

If you need help with another type of request or additional information, please let me know!
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",truncate_number,"import math

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    an integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.

    Example:
    >>> truncate_number(3.5)
    0.5
    """"""

    frational_part, _ = math.modf(number)
    return frational_part


# Test the function
print(truncate_number(3.5))  # Outputs: 0.5"
HumanEval/3/en/python/,HumanEval/3,taq_Tfng,python,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" ⴰⴼⵓⵙ ⵉⵏ ⵉⴷ ⵉⵎⵓⴷⵜⴰⵢⵉⵏ ⵉⴷ ⵉⵎⴳⴷⵓⵔⴰⵢⵉⵏ ⴰⵏⵏⴰⴷ ⵉⵏ ⵇⵓⵛⴻ ⵉⴷ ⴰⵙⵎⴰⵏⵉ ⵢⵏⴰⴷ ⴰⴳⴳⵯⵓ ⴰⴽⴻⵏ ⵔⴰⵔ ⵣⵓⵏⴰ. ⴰⵡⵏⴰⵔⵉⵏ ⵉⵙ ⵏ ⵉⵎⴷⵓⵔ ⵉⴷ ⵉⵎⵓⴷⵜⴰⵢⵉⵏ ⵏ ⴻⵇⵇⴻⵍ ⵉⴷ ⵉⵣⴳⴳⵯⵏ ⵇⵔ ⵥⵓⵏⴰ, ⵉⵏ ⴾⴰⵠⵔⵛ ⵉⵙ ⵓⵏⴰⵛ ⵢⵏⵏⴰ ⵜⴰⵔⵉ ⵜⵓⵛⴻⵍⵍⵓ ⵜⵓⵙⵓ ⵏ ⴰⵣⵔⵉ. ⴰⵡⵏⴰⵔⵉⵏ ⵏⵉⵙⵉ ⵉⵙⵓ ⵜⵓⵛⴻⵍⵍⵓ ⵜⵓⵙⵓ ⵏ ⵓⵏⴰⴹ.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",below_zero,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False"
HumanEval/4/en/python/,HumanEval/4,taq_Tfng,python,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" ⵉⵓⵏⴰⵡⴰⵏ ⵢⴰⵎⵉ ⵜⴰⴽⴽⵓⵔⵜ ⵉⵏ ⵉⵡⴰ ⵏ ⵉⵙⴻⵎⵎⵏⵉⴷⵏ, ⵉⵣⴰⵍ ⵉⵡⴰⵏ ⵢⴰⵏ ⴰⵎⵔⴰⵔⵉ ⵉⴹⵎⵎⴰⵏ ⵢ ⵉⵖⵣⵏⵉ ⵏ ⵜⴰⴷⴻⵙⴻⵏⵉ ⵏ ⵉⵙⴻⵎⵎⵏⴷⵏ ⴳⴰⵔ ⵉⵖⵣⵏⵉ ⵏ ⵜⵉⴼⵉⵏⵉⴳⵓⵔⵜ ⵏⵜⴰⵖⵏⴰⵏⵜ ⵓⴳⵔⵏ ⵢⵉⵏⵉⵏ ⵢ ⵢⴰⵏⵉⵣⵎⵓⵏ ⵏⵜⴰⵖⵏⴰⵏⵜ ⵖⵓ ⵜⵉⵎⵉⵔⵉ:

ⵢⴰⵏⵉⵣⵎⵓⵏ ⴰⴷⴻⵣⵎⵓⵏ ⵢⵉⵖⵣⵏ ⵏ ⵜⴰⵎⵔⴰⵔⵉ ⵉⵖⵣⵏⵉ ⵏ ⵜⴰⴳⵎⴰⵔⵓⵜⵉ:
MAD = ⵉⵖⵣⵏⵉ ⵢⵜⵉⵎⵉⵔⵉ | x - x_mean |
ⵉⴳⵔⵉⵎ:
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",mean_absolute_deviation,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    deviations = [abs(x - mean) for x in numbers]
    return sum(deviations) / len(deviations)"
HumanEval/5/en/python/,HumanEval/5,taq_Tfng,python,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Unfortunately, I cannot provide translations into Tamasheq as it is not supported. However, you can consult a native speaker or use translation resources specific to Tamasheq.
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",intersperse,"from typing import List

def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    """""" Insert a number 'delimiter' between every two consecutive elements of input list 'numbers' """"""
    result = []

    for i in range(len(numbers)):
        if i != 0:
            result.append(delimiter)
        result.append(numbers[i])

    return result"
HumanEval/6/en/python/,HumanEval/6,taq_Tfng,python,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" ⴰⵏⵜⵉ ⴷ ⵉⵜⵉⴼⵉ ⴷ ⵜⵉⵙ ⵉⵙ ⵜⴰⵍⵍⴰ ⵏ ⵉⴳⵔⵉⵎⴰⵙⵏ ⵉⵏⴰⵎⵓⵔ ⵖⵉ ⴹⵙⴰ ⵜⵉⴼⵉⵏⴳⵉ ⵎⵓⵜ ⵉⴳⵔⵏⴰⵏ ⵙ ⵜⵉⴼⵉⵏⴳⵉ ⵉⵏⵏⵓⵎⵜⵉⵏ ⵉⵏ ⵉⵏⵉⵏⵉⵙⵉⵏ ⵉⵙ ⵉⵎⵉⵏⵉⴳⵉⵏ.
 ⵏⵉ ⵉⴳⵔⵏⴰⵏ ⴷ ⵜⵉⵏⴳⵉⴳⵏⵜ ⵏ ⵜⵉⴼⵉⵏⴳⵉ, ⵜⵓⵙ ⵉⴳⵏⵉ ⵍⵉⵍⵉⵙ ⵏ ⴳⵔⴷⵉⵏ ⵉⵏⵉⵏⵉⵙⵉⵏ ⵏ ⵜⵉⴼⵉⵏⴳⵉ.
 ⴻⴳ. ⵜⵉⴼⵉⵏⴳⵉ ⴻⵙ ⵎⴰⴳⵉⵎⵓⵙ ⵜⵓⵏⴳⵜⵉⵏ ⵍⵉⵍⵉⵙ ⵏ ⴳⵔⴷⵉⵏ ⵉⵏⵉⵏⵉⵙⵉⵏ ⵓⵏⴷⴰⵉⵜ) ⵜⵉⴼⵉⵏⴳⵉ ⴻⵙ ⵜⵔⴻⵙ ⴳⴰⵙ ⵉⵏⵉⵏⵉⵙⵉⵏ.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",parse_nested_parens,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    levels = []
    for group in paren_string.split(' '):
        level_count = 0
        max_level = 0
        for paren in group:
            if paren == '(':
                level_count += 1
                if level_count > max_level:
                    max_level = level_count
            elif paren == ')':
                level_count -= 1
        levels.append(max_level)
    return levels"
HumanEval/7/en/python/,HumanEval/7,taq_Tfng,python,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" ⴼⵉⵍⵜⵉⵔ ⴰⵏ ⵉⵎⴰⵙⵙ ⵏ ⴰⵎⵙⵓⵏⵉⴷⵉⵏ ⵓⴳⴳⵓ ⵢⵉⴷⵉ ⵓⵏⴻⵔ ⵢⵉ ⵜⴰⵎⵔⵓⵖ ⵢⵉⵏⴰⴼ ⵉⵇⵇⴰⴼ ⵜⵉⵅⵉ ⵏⵉ ⴰⴷⵓⵔⴰⵏ.
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",filter_by_substring,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring.""""""
    
    filtered_strings = [string for string in strings if substring in string]
    
    return filtered_strings"
HumanEval/8/en/python/,HumanEval/8,taq_Tfng,python,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" ⴼⵓⵔ ⴰ ⴳⵉⴼ ⵉⵙ ⵍⵉⵙⵜ ⵓⵏⵉⴽⵉⵣⵉⵏ, ⵔⵉⵜⵓⵏ ⴰ ⵜⵓⵜⴱⵍⴰ ⵛⴻⵍⵉ ⴰⵎⵣⵉⵖ ⴰⵏ ⴰⴽⵍⵉ ⵓⵎⵓⵙⵏ ⵉ ⴰⵍⵉⴽⵉⵣⵉⵏ ⵉ ⵍⵉⵙⵜ.
ⵉ ⵓⵎⵓⵙⵏ ⵛⵉⵏⵉ ⵉⵏⵓ ⵍⴽⵍⴽ ⴽ 0 ⴰ ⵎⵣⵉⵖ ⵛⵉⵏⵉ ⵉⵏⵓ ⵍⴽⵍⴽ ⴽ 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",sum_product,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""

    if not numbers:
        return (0, 1)

    sum_of_numbers = sum(numbers)
    product_of_numbers = 1

    for number in numbers:
        product_of_numbers *= number

    return (sum_of_numbers, product_of_numbers)"
HumanEval/9/en/python/,HumanEval/9,taq_Tfng,python,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" ⵢⵜⵜⵓⵣⵉ ⵉⵎⴰⵢⵏⵓⵙ ⵏ ⵉⵏⴳⴰⵔ ⵉⴻⵏⵏⵎⵉⵏ, ⵔⴷⴷⴰ ⵉⵎⵉⵏ ⵏ ⵉⵍⵉⵙⵉ ⵢⵜⵜⵓⵣⵉ ⵏ ⵡⵉⵎⵉ ⵢⵉⵙ ⵢⵉⵏⴰⵢⵔ ⵓ ⵓⵎⵎⵉⵏⵓ ⵢⵉⵙ ⵢⵉⵏⵢⴻⵏ.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",rolling_max,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    max_num = numbers[0]
    result = [max_num]
    for num in numbers[1:]:
        if num > max_num:
            max_num = num
        result.append(max_num)
    return result"
