prompt,canonical_solution,test
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆಗಳ ಪಟ್ಟಿಯಲ್ಲಿ, ಯಾವುದೇ ಎರಡು ಸಂಖ್ಯೆಗಳು ನೀಡಿದ ಮಿತಿಯಡಿಯಲ್ಲಿ ಇರುತ್ತವೆ ಎಂಬುದನ್ನು ಪರಿಶೀಲಿಸಿ.
    ಉದಾಹರಣೆ:
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" ಈ ಫಂಕ್ಷನ್‌ಗೆ ಇನ್‌ಪುಟ್ ಎಂಬುದು ಹಲವಾರು ಗುಂಪುಗಳ ನಸ್ಟೆಡ್ ಪೇರನ್ಥೆಸಿಸ್‌ಗಳನ್ನು ಹೊಂದಿರುವ ಸ್ಟ್ರಿಂಗ್ ಆಗಿದೆ. ನಿಮ್ಮ ಗುರಿ ಅಂದರೆ ಆ ಗುಂಪುಗಳನ್ನು ಪ್ರತ್ಯೇಕ ಸ್ಟ್ರಿಂಗ್‌ಗಳಲ್ಲಿ ವಿಭಜಿಸಲು ಮತ್ತು ಆ ಗುಂಪುಗಳ ಪಟ್ಟಿಯನ್ನು ಹಿಂತಿರುಗಿಸಲು.
ಪ್ರತ್ಯೇಕ ಗುಂಪುಗಳು ಸಮತೋಲನ ಆಗಿವೆ ಮತ್ತು ಪರಸ್ಪರ ನಸ್ಟೆಡ್ ಆಗಿಲ್ಲ
ಇನ್‌ಪುಟ್ ಸ್ಟ್ರಿಂಗ್‌ನಲ್ಲಿರುವ ಯಾವುದೇ ಖಾಲಿ ಸ್ಥಳಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ.
ಉದಾಹರಣೆ:
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
"

def truncate_number(number: float) -> float:
    """""" ಧನಾತ್ಮಕ ತೇಲುವ ಬಿಂದು ಸಂಖ್ಯೆಯನ್ನು ನೀಡಿದಾಗ, ಅದನ್ನು ಪೂರ್ಣಾಂಕ ಭಾಗ ಮತ್ತು ದಶಾಂಶಗಳಾಗಿ ಅಳೆಯಬಹುದು.

ಸಂಖ್ಯೆಯ ದಶಾಂಶ ಭಾಗವನ್ನು ಹಿಂತಿರುಗಿಸಿ.
ಉದಾಹರಣೆ:
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" ನೀವು ಶೂನ್ಯ ಬಾಲೆನ್ಸ್‌ನಿಂದ ಪ್ರಾರಂಭವಾಗುವ ಬ್ಯಾಂಕ್ ಖಾತೆಯ ಠೇವಣಿ ಮತ್ತು ಹಿಂಪಡೆಯುವ ಕಾರ್ಯಗಳ ಪಟ್ಟಿಯನ್ನು ನೀಡಲಾಗುತ್ತದೆ. ನಿಮ್ಮ ಕಾರ್ಯವು ಖಾತೆಯ ಬಾಕಿ ಶೂನ್ಯಕ್ಕಿಂತ ಕಡಿಮೆಯಾಗುವಾಗ ಅದನ್ನು ಪತ್ತೆಹಚ್ಚುವುದು, ಮತ್ತು ಆ ಸಂದರ್ಭದಲ್ಲಿ ಕಾರ್ಯವು True ಅನ್ನು ಹಿಂದಿರುಗಿಸಬೇಕು. ಇಲ್ಲದಿದ್ದರೆ, False ಅನ್ನು ಹಿಂದಿರುಗಿಸಬೇಕು.
ಉದಾಹರಣೆ:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆಗಳ ಪಟ್ಟಿಗಾಗಿ, ಈ ಡೇಟಾಸೆಟ್‌ನ ಸರಾಸರಿ ಸುತ್ತ Mean Absolute Deviation ಅನ್ನು ಲೆಕ್ಕ ಹಾಕಿ.
Mean Absolute Deviation ಎಂದರೆ ಪ್ರತಿ ಅಂಗ ಮತ್ತು ಕೇಂದ್ರಬಿಂದುವಿನ ನಡುವಿನ ಸರಾಸರಿ ಪರಮ ಅಂತರ:
MAD = ಸರಾಸರಿ | x - x_mean |
ಉದಾಹರಣೆ:
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" ಪ್ರತಿಯೊಂದು ಕ್ರಮವಾಗಿ ಇರುವ `numbers` ಪಟ್ಟಿಯ ನಡುವಿನ ಎರಡು ನಿರಂತರ ಅಂಶಗಳ ನಡುವೆ 'delimeter' ಸಂಖ್ಯೆಯನ್ನು ಸೇರಿಸಿ.
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" ಈ ಫಂಕ್ಷನ್‌ಗೆ ಇನ್‌ಪುಟ್ ಎಂದರೆ ಸ್ಪೇಸ್‌ಗಳಿಂದ ಪ್ರತ್ಯೇಕಿಸಿದ ಅಡಕಿತ್ತಲೆಗಳ ಗುಂಪುಗಳನ್ನು ಪ್ರತಿನಿಧಿಸುವ ಸ್ಟ್ರಿಂಗ್. 
    ಪ್ರತಿ ಗುಂಪಿಗಾಗಿ, ಅಡಕಿತ್ತಲೆಗಳ ಆಳವಾದ ಮಟ್ಟವನ್ನು ಔಟ್‌ಪುಟ್ ಮಾಡಬೇಕು.
    ಉದಾ:) ಗರಿಷ್ಠ ಎರಡು ಮಟ್ಟಗಳಲ್ಲಿ ಅಡಕಿತ್ತಲೆ ಹೊಂದಿದೆ,)) ಮೂರು ಮಟ್ಟಗಳಲ್ಲಿ ಅಡಕಿತ್ತಲೆ ಹೊಂದಿದೆ.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" ಕೊಟ್ಟಿರುವ ಉಪಸತ್ರವನ್ನು ಒಳಗೊಂಡಿರುವ ಪಟ್ಯಗಳ ಒಳಪಟ್ಟಿಯನ್ನು ಮಾತ್ರ ಫಿಲ್ಟರ್ ಮಾಡಿ.
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" ಕೊಟ್ಟಿರುವ ಪೂರ್ಣಾಂಕಗಳ ಪಟ್ಟಿಗಾಗಿ, ಪಟ್ಟಿಯಲ್ಲಿರುವ ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕಗಳ ಮೊತ್ತ ಮತ್ತು ಗುಣಲಬ್ಧವನ್ನು ಹೊಂದಿದ ಟ್ಯೂಪಲ್ ಅನ್ನು ಹಿಂತಿರುಗಿಸಿ.
    ಖಾಲಿ ಮೊತ್ತ 0 ಗೆ ಸಮವಾಗಿರಬೇಕು ಮತ್ತು ಖಾಲಿ ಗುಣಲಬ್ಧ 1 ಗೆ ಸಮವಾಗಿರಬೇಕು.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" ಕೊಟ್ಟಿರುವ ಪೂರ್ಣಾಂಕಗಳ ಪಟ್ಟಿಯಿಂದ, ಇತರ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ, ಇದರಲ್ಲಿರುವ ಪ್ರತಿಯೊಂದು ತಕ್ಷಣದವರೆಗೂ ಕಂಡುಬರುವ ಗರಿಷ್ಠ ತತ್ವಾಂಶವನ್ನು ಹೊಂದಿರುತ್ತದೆ.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
"
